job_title,company,location,salary,date,url
construction estimator,Pickard Construction Ltd,Errington (BC),$42.26 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49566490?source=searchresults
construction helper,Rolaas Drywall Construction Ltd,Surrey (BC),$25.00 hourly,"February 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49520787?source=searchresults
construction helper,GS 10 Construction,Vernon (BC),$27.00 hourly,"May 08, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49493596?source=searchresults
construction helper,All Canada Contracting & Renovation Ltd.,Sechelt (BC),$25.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49559980?source=searchresults
construction helper,Tradewell Construction ltd.,Surrey (BC),$25.50 hourly,"March 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49174532?source=searchresults
construction helper,Fransor Insulation Ltd.,Surrey (BC),$27.00 hourly,"May 22, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49566502?source=searchresults
construction helper,Khela Excavating Ltd.,New Westminster (BC),$26.60 hourly,"May 17, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49533207?source=searchresults
construction helper,Tristeel Construction Ltd,Surrey (BC),$25.00 hourly,"April 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49375539?source=searchresults
construction labourer,Tarcott Construction Ltd,Langley (BC),$25.00 hourly,"March 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49173929?source=searchresults
construction helper,IBS Construction Ltd,Surrey (BC),$37.00 hourly,"March 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49139222?source=searchresults
construction labourer and helper,Trasolini Pools,Vancouver (BC),$20.00 to $30.00 hourly (to be negotiated),"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49636986?source=searchresults
general construction labourer,Saihaj Framing Ltd,Delta (BC),$28.00 hourly,"May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49596662?source=searchresults
construction helper,AZZAD ELECTRICAL CORP.,Delta (BC),$25.50 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49550487?source=searchresults
painter helper - construction,Innovative Enterprise,Surrey (BC),$25.00 hourly,"June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49628226?source=searchresults
construction helper,KSS Drywall and Construction Ltd.,Surrey (BC),$36.60 hourly,"March 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49138742?source=searchresults
construction helper,Rehat Roofing & Construction Ltd.,Surrey (BC),$25.00 hourly,"April 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49343286?source=searchresults
construction manager,Y&Y Construction Ltd,Richmond (BC),$52.00 hourly,"April 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49406098?source=searchresults
construction helper,A-Z ELECTRICAL SERVICES LTD,Delta (BC),$25.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49553011?source=searchresults
construction helper,Touchstar Construction Ltd.,Surrey (BC),$24.00 hourly,"March 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49134762?source=searchresults
"project manager, construction",Gavan Construction Company Ltd,Whistler (BC),$50.00 to $60.00 hourly (to be negotiated),"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583212?source=searchresults
construction worker,FRONTLINE REBAR LANDSCAPING LTD.,Surrey (BC),$36.60 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49539317?source=searchresults
joiner helper - construction,New Tech Fire & Mechanical Ltd.,Surrey (BC),$27.00 hourly,"May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583216?source=searchresults
construction helper,Golden falcon constructions ltd.,Surrey (BC),$36.60 hourly,"April 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49205785?source=searchresults
"estimator, construction",Harvard Roofing &Sheet Metal,Langley (BC),"$50,000.00 to $110,000.00 annually (to be negotiated)","May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49583028?source=searchresults
construction helper,SS Sidhu Construction Ltd.,Kelowna (BC),$27.00 hourly,"April 17, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49355030?source=searchresults
construction labourer,BRIGHTER STAFFING AGENCY,Chilliwack (BC),$20.00 to $25.00 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49632300?source=searchresults
framer helper - construction,Golden Gate Construction Ltd,Delta (BC),$31.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49638218?source=searchresults
Construction site supervisor,TRIPLE STAR CONSTRUCTION LTD,Abbotsford (BC),$38.00 hourly,"June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49635876?source=searchresults
construction helper,GREAT MANN CONSTRUCTION LTD,Delta (BC),$25.00 hourly,"May 06, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49469068?source=searchresults
construction operations manager,Creative Roots Landscaping Ltd,Kelowna (BC),$53.85 hourly,"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49590995?source=searchresults
construction helper,Doabia Powerline Construction Ltd,Surrey (BC),$25.00 hourly,"April 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49504236?source=searchresults
construction helper,WEST SHORE EXTERIOR LTD.,Langford (BC),$25.00 hourly,"June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49652522?source=searchresults
construction helper,ARONA FRAMING & CONSTRUCTION INC,Surrey (BC),$25.25 hourly,"February 18, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/48968294?source=searchresults
construction project manager,Crescent Beach Marina Co. (1967) Ltd.,Surrey (BC),"$130,000.00 to $140,000.00 annually (to be negotiated)","May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49599444?source=searchresults
"project engineer, construction",City of Maple Ridge,Maple Ridge (BC),"$126,584.64 annually","May 29, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49613855?source=searchresults
construction worker,DAYU CONSTRUCTION LTD,Prince Rupert (BC),$36.80 hourly,"February 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/48936877?source=searchresults
construction helper,OW Construction Ltd.,Tsawwassen (BC),$25.00 hourly,"March 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49036451?source=searchresults
construction helper,P&K Construction Services Ltd,Abbotsford (BC),$25.00 hourly,"April 23, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49389745?source=searchresults
construction helper,TPD CONSTRUCTION WORKS LTD.,Abbotsford (BC),$25.00 hourly,"April 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49213195?source=searchresults
construction helper,Modern Class Construction Ltd.,Surrey (BC),$25.00 hourly,"April 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49211743?source=searchresults
construction helper,MASTER DRYWALL LTD.,Surrey (BC),$25.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544006?source=searchresults
construction electrician helper,fourteen electrical ltd,Surrey (BC),$36.60 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49546606?source=searchresults
construction labourer,YellowLine Construction Ltd.,Surrey (BC),$25.00 hourly,"March 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49029884?source=searchresults
construction worker,We Care Restoration Ltd.,Fort St. John (BC),"$57,500.00 annually","June 04, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49651760?source=searchresults
"project manager, construction",OLYMPIC CONTROLS,North Vancouver (BC),"$80,000.00 to $120,000.00 annually (to be negotiated)","May 27, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49596855?source=searchresults
trades helper - construction,Macropus Homes,Victoria (BC),$25.00 hourly,"May 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49550431?source=searchresults
construction engineer,Sapsol Technologies Inc,Vancouver (BC),$45.00 to $50.00 annually,"May 23, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49658178?source=searchresults
Construction site supervisor,GRD CONSTRUCTION LTD,Surrey (BC),$30.00 to $33.00 hourly (to be negotiated),"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49494552?source=searchresults
construction manager,GRD CONSTRUCTION LTD,Surrey (BC),$32.00 to $35.00 hourly (to be negotiated),"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49494551?source=searchresults
"helper, construction",MLP PAINTING & CONSTRUCTION LTD.,Surrey (BC),$26.00 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49522827?source=searchresults
painter helper - construction,EXCLUSIVE PAINTING LTD,Surrey (BC),$25.00 hourly,"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49557724?source=searchresults
construction helper,Newton rebar service Ltd,Surrey (BC),$36.60 hourly,"May 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49506449?source=searchresults
construction worker,Kinex Developments Ltd,Port Coquitlam (BC),$19.00 to $25.00 hourly (to be negotiated),"May 21, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49556714?source=searchresults
construction project coordinator,Technical Access Group Inc.,North Vancouver (BC),$52.56 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49544074?source=searchresults
construction manager,JOEY Restaurants,Vancouver (BC),"$85,000.00 to $115,000.00 annually","May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49648629?source=searchresults
construction helper,APCON CONSTRUCTION GROUP OF COMPANIES LTD.,Surrey (BC),$25.00 hourly,"February 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/48927748?source=searchresults
"estimator, construction",Okanagan Home Builder,Kelowna (BC),"$90,000.00 annually","June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49638038?source=searchresults
construction electrician helper,GK Group Construction Ltd.,Surrey (BC),$25.50 hourly,"April 14, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49335704?source=searchresults
construction manager,QKD Construction Ltd.,Vancouver (BC),$51.92 to $53.00 hourly (to be negotiated),"March 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49035483?source=searchresults
construction project manager,City of Maple Ridge,Maple Ridge (BC),"$107,445.24 annually","June 01, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49627331?source=searchresults
senior estimator - construction,Kinetic Management Ltd.,Richmond (BC),"$115,536.51 to $173,304.77 annually (to be negotiated)","May 25, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49584554?source=searchresults
construction helper,Omni Gas Ltd.,Surrey (BC),$25.50 hourly,"May 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49507406?source=searchresults
construction electrician helper,Khalsa Electric Ltd.,Surrey (BC),$26.50 hourly,"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49645346?source=searchresults
construction helper,Superfine Carpentry Ltd.,Surrey (BC),$25.00 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49522404?source=searchresults
construction helper,High Definition Roofing Ltd.,Duncan (BC),$25.00 hourly,"May 19, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49545612?source=searchresults
construction helper,RAI STAR CONSTRUCTION LTD.,Delta (BC),$25.00 hourly,"March 16, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49117254?source=searchresults
"labourer, construction",Silex Restorations Ltd.,Burnaby (BC),$20.00 to $22.00 hourly (to be negotiated),"May 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49589506?source=searchresults
construction trades helper,CNT construction. LTD,Langley (BC),$25.00 hourly,"April 13, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49300481?source=searchresults
construction helper,CANWIDE STEEL LTD.,Surrey (BC),$25.50 hourly,"May 11, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49493935?source=searchresults
construction safety officer,Canyon Industrial Electrical Services Ltd,Revelstoke (BC),$36.00 to $55.00 hourly (to be negotiated),"June 03, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49646040?source=searchresults
construction manager,Shine Contracting & Construction Management Inc.,Surrey (BC),$45.00 hourly,"March 23, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49161369?source=searchresults
construction helper,MVC Construction Ltd,Surrey (BC),$25.10 hourly,"March 26, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49180697?source=searchresults
construction labourer,made 4 u construction ltd,Parksville (BC),$25.50 hourly,"April 24, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49395572?source=searchresults
construction helper,Clear Vision Maintenance LTD,Winfield (BC),$27.00 hourly,"May 15, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49521291?source=searchresults
"project manager, construction",School District No. 62 (Sooke),Victoria (BC),"$97,799.00 annually","June 02, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49636282?source=searchresults
construction labourer and helper,SEA TO SKY PRECISION CONSTRUCTION LTD,Kamloops (BC),$27.00 hourly,"May 14, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49515349?source=searchresults
construction helper,AP Murphy Construction,Victoria (BC),$25.00 hourly,"March 20, 2026",https://www.jobbank.gc.ca/jobsearch/jobposting/49147253?source=searchresults
